Date_time: ,mode_id: 
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,******************
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,******************
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,******************
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,******************
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,******************
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,******************
50:00.0,******************
55:00.0,******************
00:00.0,111010110101000000
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,******************
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
35:00.0,111111111111******
40:00.0,111010110101******
45:00.0,111111111111******
50:00.0,111010110101******
55:00.0,111111111111******
00:00.0,111010110101******
05:00.0,111111111111******
10:00.0,111010110101******
15:00.0,111111111111******
20:00.0,111010110101******
25:00.0,111111111111******
30:00.0,111010110101******
